Sample ,Species,Treatment,Origin,TriPER,SaddlePER,RondelPER,BulliParalPER,BulliFlabPER,ElongatesPER,StomaPER,CrossPER,BiloPER,PolyPER
1,FM,WW,Kenya,3.459119497,5.974842767,5.34591195,0.314465409,0.314465409,80.3125,0.943396226,0.314465409,0.314465409,0
2,FM,WW,Kenya,1.237113402,4.329896907,1.030927835,0.206185567,0.824742268,64.12371134,1.443298969,0.206185567,0.206185567,0
4,FM,WS,Kenya,2.48447205,5.590062112,2.795031056,0,0.310559006,62.19512195,1.552795031,0,0,0
5,FM,WS,Kenya,4.191616766,4.191616766,0.898203593,0,0,80.81395349,1.796407186,0,0,0
7,FM,WW,Tanzania,3.5639413,10.27253669,5.660377358,1.886792453,0.419287212,62.89308176,1.677148847,0.419287212,0.628930818,0
8,FM,WW,Tanzania,4.556354916,12.94964029,2.398081535,0.479616307,0,67.62589928,0.71942446,0,0,0
10,FM,WS,Tanzania,4.496788009,14.56102784,7.494646681,0,0,48.60813704,2.355460385,0.642398287,1.284796574,0
11,FM,WS,Tanzania,2.772963605,22.87694974,2.59965338,0.173310225,0.346620451,61.29032258,1.386481802,1.559792028,0.173310225,0
13,PM,WW,Sudan,2.130492676,0.355082113,1.109631602,0.133155792,0,11.45139814,3.062583222,19.84021305,7.101642255,0.088770528
14,PM,WW,Sudan,5.72519084,0,0.381679389,0,0,66.60305344,3.435114504,14.50381679,0.954198473,0.381679389
16,PM,WS,Sudan,3.747870528,0,0.851788756,0,0,67.63202726,1.703577513,8.177172061,8.00681431,0.511073254
17,PM,WS,Sudan,2.496328928,0,0.440528634,0,0,30.98384728,3.964757709,12.7753304,0.881057269,0.146842878
19,PM,WW,Pakistan,2.637889688,0,0,0.239808153,0,71.22302158,2.398081535,3.597122302,3.117505995,0.479616307
20,PM,WW,Pakistan,1.248049922,0.15600624,0.31201248,0,0,43.99375975,4.368174727,11.70046802,5.148205928,0
22,PM,WS,Pakistan,4.076738609,0,0.479616307,0,0,26.19047619,0.71942446,11.03117506,7.434052758,0.479616307
23,PM,WS,Pakistan,5.329949239,0,0,0,0,72.08121827,2.538071066,7.360406091,3.299492386,0
82,FM,WW,Kenya,0.505050505,10.60606061,5.555555556,0,0,66.25,4.545454545,0.252525253,0,0
83,FM,WW,Kenya,0.93676815,9.133489461,2.107728337,0,0,68.85245902,4.215456674,0.702576112,0,0
85,FM,WS,Kenya,2.69058296,6.950672646,3.3632287,0.448430493,0,74.66367713,1.121076233,0.67264574,0.896860987,0.67264574
86,FM,WS,Kenya,1.154734411,7.390300231,6.928406467,0,0,67.42596811,2.07852194,0.923787529,0,0
88,FM,WW,Tanzania,5.681818182,4.261363636,1.420454545,0.284090909,0.284090909,71.54696133,2.272727273,0.284090909,0,0
89,FM,WW,Tanzania,3.8585209,9.003215434,3.536977492,1.607717042,0.321543408,71.70418006,1.286173633,0,0,0
91,FM,WS,Tanzania,4.228855721,9.950248756,3.233830846,0,0,65.93137255,3.482587065,0.497512438,0.248756219,0
92,FM,WS,Tanzania,2.978723404,24.25531915,11.91489362,0,0,43.82978723,1.063829787,3.404255319,0,0
94,PM,WW,Sudan,2.327935223,3.542510121,4.95951417,3.340080972,0,65.68825911,4.048582996,3.238866397,5.870445344,0
95,PM,WW,Sudan,1.443298969,0.412371134,1.855670103,0,0,81.03092784,2.886597938,5.154639175,1.649484536,0
97,PM,WS,Sudan,4.975728155,0.36407767,1.09223301,0,0,53.58851675,0.72815534,14.92718447,1.577669903,0.36407767
98,PM,WS,Sudan,1.744186047,0.290697674,2.325581395,0,0,59.30232558,2.61627907,13.37209302,3.779069767,0
100,PM,WW,Ethiopia,8.359133127,0.619195046,0.464396285,4.024767802,0,64.24148607,2.476780186,3.715170279,4.024767802,0.92879257
101,PM,WW,Ethiopia,2.316602317,0,0,0,0,68.33976834,1.351351351,6.563706564,1.351351351,0
103,PM,WS,Ethiopia,1.851851852,0.617283951,0,0.308641975,0,53.39506173,1.234567901,17.28395062,12.34567901,2.777777778
104,PM,WS,Ethiopia,3.977272727,0,1.515151515,0.378787879,0.189393939,59.88700565,0.946969697,18.18181818,6.25,0.568181818
106,PM,WW,Pakistan,12.07243461,0,0,0,0,71.62977867,2.213279678,1.609657948,1.810865191,0.60362173
107,PM,WW,Pakistan,3.21888412,0.429184549,0.429184549,0,0,68.45493562,0.858369099,10.08583691,2.145922747,0.214592275
109,PM,WS,Pakistan,1.960784314,0,2.178649237,0,0,55.55555556,2.178649237,17.4291939,0.871459695,1.525054466
110,PM,WS,Pakistan,1.160092807,0,0.464037123,0.232018561,0.464037123,70.53364269,1.392111369,9.280742459,4.408352668,1.392111369
130,FM,WW,Kenya,2.886597938,5.154639175,1.855670103,1.649484536,0.618556701,70.51546392,3.092783505,0,0,0
136,FM,WW,Tanzania,1.711026616,4.372623574,0.570342205,0,0,87.83269962,3.231939163,0.380228137,0,0
142,PM,WW,Sudan,5.389221557,0.299401198,2.694610778,0,0,63.77245509,0.898203593,17.36526946,4.790419162,0
148,PM,WW,Pakistan,2.469135802,0,0.617283951,0,0,64.93902439,2.469135802,7.098765432,3.395061728,1.543209877
