Sample ,Species,Treatment,Origin,TriPER,SaddlePER,RondelPER,BulliParalPER,BulliFlabPER,ElongatesPER,StomaPER,CrossPER,BiloPER,PolyPER
ALM_17_114,ALM,ARCHAEO,Alamgirpur,0.588235294,1.470588235,38.82352941,0,1.764705882,46.47058824,0,1.764705882,7.647058824,0.294117647
ALM_39_125,ALM,ARCHAEO,Alamgirpur,0.877192982,9.064327485,32.45614035,0,0,51.75438596,0,0.877192982,4.385964912,0.584795322
ALM_23_117,ALM,ARCHAEO,Alamgirpur,0.833333333,15,29.72222222,0.833333333,1.388888889,42.5,0,0.833333333,8.055555556,0.555555556
ALM_31_121,ALM,ARCHAEO,Alamgirpur,0,11.34969325,30.98159509,0,0.306748466,50.9202454,0.306748466,2.147239264,2.45398773,0.306748466
ALM_6_106,ALM,ARCHAEO,Alamgirpur,0.296735905,10.08902077,24.03560831,0,2.37388724,51.33531157,0.59347181,1.483679525,8.308605341,0.296735905
ALM_8_107,ALM,ARCHAEO,Alamgirpur,0,7.228915663,29.21686747,0,3.614457831,50.60240964,0.301204819,0.903614458,7.530120482,0.301204819
ALM_25_118,ALM,ARCHAEO,Alamgirpur,1.253918495,17.24137931,38.24451411,0,1.253918495,35.10971787,0.313479624,2.194357367,3.448275862,0.313479624
ALM_33_122,ALM,ARCHAEO,Alamgirpur,0.680272109,4.421768707,19.04761905,0,1.360544218,65.98639456,2.040816327,1.020408163,4.081632653,0
ALM_19_115,ALM,ARCHAEO,Alamgirpur,0.331125828,5.960264901,22.51655629,0,2.317880795,66.88741722,0,0,0.662251656,0
ALM_21_116,ALM,ARCHAEO,Alamgirpur,0,13.64985163,33.53115727,0,1.483679525,40.35608309,0,0.890207715,10.08902077,0
ALM_15_112,ALM,ARCHAEO,Alamgirpur,0.293255132,15.54252199,36.36363636,0,2.93255132,37.82991202,0,0,6.451612903,0
ALM_43_127,ALM,ARCHAEO,Alamgirpur,1.724137931,6.896551724,35.05747126,0.574712644,1.724137931,43.3908046,0,1.724137931,7.183908046,0.862068966
ALM_2_110,ALM,ARCHAEO,Alamgirpur,0.564971751,11.5819209,26.27118644,0,1.694915254,44.91525424,0,1.129943503,13.84180791,0
ALM_45_128,ALM,ARCHAEO,Alamgirpur,0.914634146,4.268292683,30.48780488,0,6.707317073,43.59756098,0,0,13.41463415,0
ALM_10_108,ALM,ARCHAEO,Alamgirpur,0.296735905,7.715133531,27.59643917,0,2.670623145,43.62017804,0.296735905,2.37388724,14.83679525,0.296735905
ALM_13_106,ALM,ARCHAEO,Alamgirpur,0.862068966,18.67816092,33.62068966,0,0.287356322,39.65517241,0.287356322,1.436781609,4.597701149,0.574712644
HARP_201_03,HARP,ARCHAEO,Harappa,2.222222222,5.079365079,6.349206349,0,2.53968254,78.73015873,0,0,4.444444444,0.634920635
HARP_201_08,HARP,ARCHAEO,Harappa,0,12.82051282,25.64102564,0,2.564102564,53.84615385,0,0,5.128205128,0
HARP_201_06,HARP,ARCHAEO,Harappa,1.673640167,7.949790795,26.77824268,0,0.836820084,54.81171548,1.255230126,0.836820084,5.439330544,0.418410042
HARP_201_19,HARP,ARCHAEO,Harappa,2.43902439,3.963414634,7.62195122,0.609756098,1.829268293,77.74390244,0,0.304878049,5.487804878,0
HARP_202_08,HARP,ARCHAEO,Harappa,1.388888889,12.96296296,18.98148148,0,0,63.42592593,0,0,2.777777778,0.462962963
HARP_210_11,HARP,ARCHAEO,Harappa,1.724137931,1.724137931,3.448275862,0,6.32183908,86.49425287,0,0,0.287356322,0
HARP_201_21,HARP,ARCHAEO,Harappa,0,8.108108108,8.108108108,0,0,79.72972973,0,0,4.054054054,0
HARP_210_26,HARP,ARCHAEO,Harappa,0,5.673758865,9.929078014,0,2.836879433,81.56028369,0,0,0,0
HARP_202_15,HARP,ARCHAEO,Harappa,0,3.703703704,29.62962963,0,0,52.77777778,0,0,13.88888889,0
HARP_202_01,HARP,ARCHAEO,Harappa,0,6.12244898,12.24489796,0,4.081632653,71.42857143,0,0,6.12244898,0
HARP_202_02,HARP,ARCHAEO,Harappa,2.030456853,9.137055838,8.121827411,0,6.598984772,73.0964467,0,0,0,0
HARP_22_03,HARP,ARCHAEO,Harappa,0,10.79136691,10.07194245,0,5.755395683,73.38129496,0,0,0,0
HARP_202_04,HARP,ARCHAEO,Harappa,1.052631579,0,8.421052632,0,2.105263158,88.42105263,0,0,0,0
HARP_202_05,HARP,ARCHAEO,Harappa,0,0,11.53846154,0,7.692307692,80.76923077,0,0,0,0
HARP_202_06,HARP,ARCHAEO,Harappa,0,5.263157895,5.263157895,0,0,89.47368421,0,0,0,0
HARP_202_07,HARP,ARCHAEO,Harappa,0,5.747126437,24.71264368,0,0,69.54022989,0,0,0,0
KMR_A001,KMR,ARCHAEO,Kanmer,0.55401662,5.817174515,51.2465374,0,0.55401662,27.70083102,0,2.493074792,11.08033241,0.55401662
KMR_A002,KMR,ARCHAEO,Kanmer,0,8.781869688,50.99150142,0,0.849858357,21.52974504,0,1.983002833,14.44759207,0.849858357
KMR_A003,KMR,ARCHAEO,Kanmer,0.638977636,8.306709265,28.75399361,0,4.153354633,50.47923323,0,0.319488818,7.348242812,0
KMR_A004,KMR,ARCHAEO,Kanmer,0,6.129032258,48.06451613,0,2.903225806,35.16129032,0,0,6.451612903,0.967741935
KMR_FL001,KMR,ARCHAEO,Kanmer,0.297619048,7.738095238,47.91666667,0,3.869047619,36.30952381,0,0.892857143,2.976190476,0
KMR_FL002,KMR,ARCHAEO,Kanmer,0,7.865168539,53.08988764,1.123595506,1.685393258,28.93258427,0,1.123595506,5.056179775,0
KMR_PL001,KMR,ARCHAEO,Kanmer,0.289855072,10.43478261,47.82608696,0,0.869565217,33.04347826,0,0.289855072,6.666666667,0
KMR_PL002,KMR,ARCHAEO,Kanmer,0.573065903,8.88252149,45.84527221,0,7.449856734,29.79942693,0,0,7.449856734,0
KMR_FP001,KMR,ARCHAEO,Kanmer,0,12.8742515,44.31137725,0,0,31.73652695,0,0.898203593,7.48502994,0.299401198
KMR_FP002,KMR,ARCHAEO,Kanmer,0.561797753,8.146067416,43.82022472,0,0.280898876,22.47191011,0,1.685393258,21.91011236,1.123595506
KMR_FP003,KMR,ARCHAEO,Kanmer,0.653594771,4.575163399,43.1372549,0.326797386,2.287581699,41.17647059,0,0,7.516339869,0.326797386
KMR_FP004,KMR,ARCHAEO,Kanmer,0,6.369426752,45.54140127,0,4.140127389,37.2611465,0,1.27388535,5.414012739,0
KMR_FP005,KMR,ARCHAEO,Kanmer,1.2,7.6,42.8,0.4,7.6,26.8,0,1.2,9.2,0.4
