Sample ,Cylno,Acrnoym,Rep,Plant,Geno,Species,Genotype,PlantPart,Treatment,Specie_Trt,Origin,TWT ,TE ,TWA ,LastTranspiration ,Concentration,Disarticulted_Phytoliths,Skeleton_Phytoliths,Total_Phytoliths,TotalPhytoliths_50,RatioS/F,TotalRatioS/F,RatioS/F_concentration,RatioS/F_percentage,Trichomes,Saddle,Rondels,Tracheary,Blocky,BulliformFlabellate,BulliformTOT,ElongClavate,ElongSinuate,ElongEntire,ElongDentate,ElongCrenate,ElongateTOT,Stoma,Cross,Bilobate,Polylobate,TriCONCE,SaddleCONCE,RondelsCONCE,TracheCONCE,BlockyCONCE,BulliFlabellateCONCE,BulliTOTCONCE,ClavateCONCE,SinuateCONCE,EntireCONCE,DentateCONCE,CrenateCONCE,ElongateTOTCONCE,StomaCONCE,CrossCONCE,BilobateCONCE,PolylobateCONCE,TriPER,SaddlePER,RondelPER,TrachePER,BlockyPER,BulliFlabPER,ClavPER,SinuPER,EntirePER,DenPER,CrenPER,StomaPER,CrossPER,BiloPER,PolyPER
1,192002,FM1R1WW,1,1,1,FM,IE2511,Leaf,WW,FM_WW,Kenya,43.03,5.879618871,34.53,6.48,6.045849802,57,263,320,318,7.026315789,305,7.026315789,6.973684211,11,19,17,2,1,1,2,0,174,83,7,0,264,3,1,1,0,0.207826087,0.358972332,0.321185771,0.037786561,0.018893281,0.018893281,0.037786561,0,3.28743083,1.568142292,0.132252964,0,4.987826087,0.056679842,0.018893281,0.018893281,0,3.459119497,5.974842767,5.34591195,0.628930818,0.314465409,0.314465409,0,54.08805031,26.10062893,2.201257862,0,0.943396226,0.314465409,0.314465409,0
2,192013,FM1R2WW,2,1,1,FM,IE2511,Leaf,WW,FM_WW,Kenya,32.99,12.58866323,27.09,3.92,13.13541667,36,449,485,485,15.92857143,474,15.92857143,15.92857143,6,21,5,0,1,4,5,0,117,194,128,0,439,7,1,1,0,0.1625,0.56875,0.135416667,0,0.027083333,0.108333333,0.135416667,0,3.16875,5.254166667,3.466666667,0,11.88958333,0.189583333,0.027083333,0.027083333,0,1.237113402,4.329896907,1.030927835,0,0.206185567,0.824742268,0,24.12371134,40,26.39175258,0,1.443298969,0.206185567,0.206185567,0
4,192506,FM1R1WS,1,1,1,FM,IE2511,Leaf,WS,FM_WS,Kenya,9.98,6.801603206,1,0.32,3.537212089,31,297,328,322,10.81481481,319,10.81481481,10.59259259,8,18,9,0,0,1,1,0,102,102,83,0,287,5,0,0,0,0.086273466,0.194115298,0.097057649,0,0,0.010784183,0.010784183,0,1.099986686,1.099986686,0.895087205,0,3.095060578,0.053920916,0,0,0,2.48447205,5.590062112,2.795031056,0,0,0.310559006,0,29.8136646,31.67701863,25.77639752,0,1.552795031,0,0,0
5,192511,FM1R2WS,2,1,1,FM,IE2511,Leaf,WS,FM_WS,Kenya,9.18,4.477124183,1,0.17,7.994734482,21,323,344,334,18.41176471,330,18.41176471,17.82352941,14,14,3,0,0,0,0,0,105,173,29,0,307,6,0,0,0,0.325367101,0.325367101,0.069721522,0,0,0,0,0,2.440253257,4.020607748,0.673974709,0,7.134835715,0.139443043,0,0,0,4.191616766,4.191616766,0.898203593,0,0,0,0,29.64071856,50.5988024,8.682634731,0,1.796407186,0,0,0
7,192003,FM6R1WW,1,2,6,FM,IE4450,Leaf,WW,FM_WW,Tanzania,34.21,3.648056124,27.61,4.61,14.93710365,32,445,477,477,4.543209877,449,4.543209877,4.543209877,17,49,27,0,9,2,11,0,234,66,38,22,360,8,2,3,0,0.532349606,1.534419453,0.845496433,0,0.281832144,0.062629365,0.34446151,0,7.327635753,2.066769059,1.189957943,0.68892302,11.27328577,0.250517462,0.062629365,0.093944048,0,3.5639413,10.27253669,5.660377358,0,1.886792453,0.419287212,0,49.05660377,13.83647799,7.966457023,4.612159329,1.677148847,0.419287212,0.628930818,0
8,192020,FM6R2WW,2,2,6,FM,IE4450,Leaf,WW,FM_WW,Tanzania,23.37,8.023106547,19.96,1.39,20.60226839,63,354,417,417,5.1875,396,5.1875,5.1875,19,54,10,0,2,0,2,0,103,179,43,4,329,3,0,0,0,0.938712469,2.667919648,0.494059194,0,0.098811839,0,0.098811839,0,5.088809699,8.843659574,2.124454534,0.197623678,16.25454748,0.148217758,0,0,0,4.556354916,12.94964029,2.398081535,0,0.479616307,0,0,24.70023981,42.92565947,10.3117506,0.959232614,0.71942446,0,0,0
10,192507,FM6R1WS,1,2,6,FM,IE4450,Leaf,WS,FM_WS,Tanzania,11.31,4.557029178,1,0.62,5.624843903,54,413,467,467,2.982142857,446,2.982142857,2.982142857,21,68,35,0,0,0,0,0,124,103,96,0,323,11,3,6,0,0.252937306,0.819035087,0.421562177,0,0,0,0,0,1.49353457,1.240597263,1.156284828,0,3.890416661,0.13249097,0.036133901,0.072267802,0,4.496788009,14.56102784,7.494646681,0,0,0,0,26.55246253,22.05567452,20.55674518,0,2.355460385,0.642398287,1.284796574,0
11,192514,FM6R2WS,2,2,6,FM,IE4450,Leaf,WS,FM_WS,Tanzania,10.79,4.109360519,1,0.39,10.67044895,88,501,589,577,2.540372671,570,2.540372671,2.554140127,16,136,15,0,1,2,3,0,237,124,4,36,401,8,9,1,0,0.289859394,2.463804852,0.271743182,0,0.018116212,0.036232424,0.054348636,0,4.293542279,2.246410306,0.072464849,0.652183637,7.264601071,0.144929697,0.163045909,0.018116212,0,2.772963605,22.87694974,2.59965338,0,0.173310225,0.346620451,0,39.68804159,21.49046794,0.693240901,6.239168111,1.386481802,1.559792028,0.173310225,0
13,191006,PM2R1WW,1,1,2,PM,IP9859,Leaf,WW,PM_WW,Sudan,33.16,4.850422195,25.19,5.96,36.92144289,40,2213,2253,2253,2.429906542,2202,2.429906542,2.429906542,48,8,25,0,3,0,3,1200,47,211,3,30,1491,69,447,160,2,0.78695793,0.131159655,0.409873922,0,0.049184871,0,0.049184871,19.67394825,0.770562973,3.459335901,0.049184871,0.491848706,24.44488071,1.131252025,7.328545725,2.623193101,0.032789914,2.130492676,0.355082113,1.109631602,0,0.133155792,0,53.26231691,2.086107412,9.365290723,0.133155792,1.331557923,3.062583222,19.84021305,7.101642255,0.088770528
14,191020,PM2R2WW,2,1,2,PM,IP9859,Leaf,WW,PM_WW,Sudan,32.39,9.928990429,25.1,5.28,10.26849395,34,490,524,524,4.811764706,494,4.811764706,4.811764706,30,0,2,0,0,0,0,15,304,45,27,0,391,18,76,5,2,0.587890875,0,0.039192725,0,0,0,0,0.293945438,5.957294202,0.881836313,0.529101788,0,7.66217774,0.352734525,1.48932355,0.097981813,0.039192725,5.72519084,0,0.381679389,0,0,0,2.86259542,58.01526718,8.58778626,5.152671756,0,3.435114504,14.50381679,0.954198473,0.381679389
